time,consumption
2018-08-25 00:00:00,2.63
2018-08-25 01:00:00,4.15
2018-08-25 02:00:00,4.91
2018-08-25 03:00:00,5.15
2018-08-25 04:00:00,4.87
2018-08-25 05:00:00,4.21
2018-08-25 06:00:00,2.14
2018-08-25 07:00:00,1.44
2018-08-25 08:00:00,0.84
2018-08-25 09:00:00,1.08
2018-08-25 10:00:00,1.76
2018-08-25 11:00:00,2.93
2018-08-25 12:00:00,3.24
2018-08-25 13:00:00,6.43
2018-08-25 14:00:00,3.43
2018-08-25 15:00:00,3.12
2018-08-25 16:00:00,3.07
2018-08-25 17:00:00,3.03
2018-08-25 18:00:00,2.99
2018-08-25 19:00:00,6.05
2018-08-25 20:00:00,6.56
2018-08-25 21:00:00,4.13
2018-08-25 22:00:00,3.06
2018-08-25 23:00:00,2.82
2018-08-26 00:00:00,2.33
2018-08-26 01:00:00,1.93
2018-08-26 02:00:00,1.69
2018-08-26 03:00:00,1.07
2018-08-26 04:00:00,1.69
2018-08-26 05:00:00,3.18
2018-08-26 06:00:00,2.18
2018-08-26 07:00:00,1.23
2018-08-26 08:00:00,1.58
2018-08-26 09:00:00,1.93
2018-08-26 10:00:00,2.12
2018-08-26 11:00:00,3.33
2018-08-26 12:00:00,2.36
2018-08-26 13:00:00,3.0
2018-08-26 14:00:00,2.14
2018-08-26 15:00:00,2.63
2018-08-26 16:00:00,3.06
2018-08-26 17:00:00,3.05
2018-08-26 18:00:00,3.3
2018-08-26 19:00:00,3.28
2018-08-26 20:00:00,3.52
2018-08-26 21:00:00,3.15
2018-08-26 22:00:00,2.93
2018-08-26 23:00:00,2.21
2018-08-27 00:00:00,1.8
2018-08-27 01:00:00,1.82
2018-08-27 02:00:00,3.34
2018-08-27 03:00:00,4.43
2018-08-27 04:00:00,4.33
2018-08-27 05:00:00,3.98
2018-08-27 06:00:00,1.59
2018-08-27 07:00:00,1.71
2018-08-27 08:00:00,0.69
2018-08-27 09:00:00,1.31
2018-08-27 10:00:00,3.02
2018-08-27 11:00:00,3.01
2018-08-27 12:00:00,2.58
2018-08-27 13:00:00,3.08
2018-08-27 14:00:00,3.43
2018-08-27 15:00:00,3.75
2018-08-27 16:00:00,3.47
2018-08-27 17:00:00,3.28
2018-08-27 18:00:00,3.32
2018-08-27 19:00:00,3.3
2018-08-27 20:00:00,3.05
2018-08-27 21:00:00,2.9
2018-08-27 22:00:00,2.86
2018-08-27 23:00:00,2.65
2018-08-28 00:00:00,1.84
2018-08-28 01:00:00,1.65
2018-08-28 02:00:00,1.75
2018-08-28 03:00:00,2.48
2018-08-28 04:00:00,4.6
2018-08-28 05:00:00,3.69
2018-08-28 06:00:00,1.98
2018-08-28 07:00:00,1.48
2018-08-28 08:00:00,0.45
2018-08-28 09:00:00,0.34
2018-08-28 10:00:00,1.13
2018-08-28 11:00:00,2.59
2018-08-28 12:00:00,3.22
2018-08-28 13:00:00,3.53
2018-08-28 14:00:00,3.33
2018-08-28 15:00:00,3.25
2018-08-28 16:00:00,3.2
2018-08-28 17:00:00,3.19
2018-08-28 18:00:00,3.12
2018-08-28 19:00:00,3.07
2018-08-28 20:00:00,3.01
2018-08-28 21:00:00,2.9
2018-08-28 22:00:00,2.85
2018-08-28 23:00:00,2.34
2018-08-29 00:00:00,2.31
2018-08-29 01:00:00,1.88
2018-08-29 02:00:00,1.53
2018-08-29 03:00:00,1.6
2018-08-29 04:00:00,4.67
2018-08-29 05:00:00,3.02
2018-08-29 06:00:00,1.83
2018-08-29 07:00:00,1.4
2018-08-29 08:00:00,0.72
2018-08-29 09:00:00,1.45
2018-08-29 10:00:00,2.55
2018-08-29 11:00:00,2.47
2018-08-29 12:00:00,2.54
2018-08-29 13:00:00,3.28
2018-08-29 14:00:00,2.84
2018-08-29 15:00:00,3.27
2018-08-29 16:00:00,3.33
2018-08-29 17:00:00,3.08
2018-08-29 18:00:00,3.05
2018-08-29 19:00:00,2.88
2018-08-29 20:00:00,3.09
2018-08-29 21:00:00,2.64
2018-08-29 22:00:00,2.32
2018-08-29 23:00:00,1.42
2018-08-30 00:00:00,1.89
2018-08-30 01:00:00,1.38
2018-08-30 02:00:00,0.89
2018-08-30 03:00:00,1.88
2018-08-30 04:00:00,4.34
2018-08-30 05:00:00,3.26
2018-08-30 06:00:00,1.92
2018-08-30 07:00:00,1.28
2018-08-30 08:00:00,0.93
2018-08-30 09:00:00,1.84
2018-08-30 10:00:00,2.7
2018-08-30 11:00:00,2.79
2018-08-30 12:00:00,2.84
2018-08-30 13:00:00,2.68
2018-08-30 14:00:00,2.5
2018-08-30 15:00:00,2.98
2018-08-30 16:00:00,2.45
2018-08-30 17:00:00,2.96
2018-08-30 18:00:00,2.93
2018-08-30 19:00:00,2.89
2018-08-30 20:00:00,1.93
2018-08-30 21:00:00,1.31
2018-08-30 22:00:00,1.19
2018-08-30 23:00:00,1.18
2018-08-31 00:00:00,1.26
2018-08-31 01:00:00,2.07
2018-08-31 02:00:00,4.36
2018-08-31 03:00:00,4.49
2018-08-31 04:00:00,4.28
2018-08-31 05:00:00,4.48
2018-08-31 06:00:00,1.99
2018-08-31 07:00:00,2.11
2018-08-31 08:00:00,2.41
2018-08-31 09:00:00,2.37
2018-08-31 10:00:00,3.87
2018-08-31 11:00:00,5.69
2018-08-31 12:00:00,6.87
2018-08-31 13:00:00,4.85
2018-08-31 14:00:00,6.67
2018-08-31 15:00:00,6.42
2018-08-31 16:00:00,6.62
2018-08-31 17:00:00,6.15
2018-08-31 18:00:00,4.51
2018-08-31 19:00:00,3.42
2018-08-31 20:00:00,3.55
2018-08-31 21:00:00,3.07
2018-08-31 22:00:00,2.34
2018-08-31 23:00:00,2.04
